model_name,reasoning_effort,key,value
kimi-k2.7-code,,context_window,128000
kimi-k2.7-code,,hallucination,11
kimi-k2.7-code,,reasoning,85
kimi-k2.7-code,,cost_per_1m_input,0.95
kimi-k2.7-code,,cost_per_1m_output,4.00
mimo-v2.5,,has_reasoning_effort,false
mimo-v2.5,,intel,78
mimo-v2.5,,speed,92
mimo-v2.5,,cost-type,subscription
mimo-v2.5,,context_window,128000
mimo-v2.5,,hallucination,15
mimo-v2.5,,reasoning,72
mimo-v2.5,,cost_per_1m_input,0.14
mimo-v2.5,,cost_per_1m_output,0.28
minimax-m3,,has_reasoning_effort,false
minimax-m3,,intel,81
minimax-m3,,speed,85
minimax-m3,,cost-type,subscription
minimax-m3,,context_window,128000
minimax-m3,,hallucination,13
minimax-m3,,reasoning,78
minimax-m3,,cost_per_1m_input,0.30
minimax-m3,,cost_per_1m_output,1.20
qwen3.7-max,,has_reasoning_effort,false
qwen3.7-max,,intel,84
qwen3.7-max,,speed,80
qwen3.7-max,,cost-type,subscription
qwen3.7-max,,context_window,128000
qwen3.7-max,,hallucination,11
qwen3.7-max,,reasoning,85
qwen3.7-max,,cost_per_1m_input,2.50
qwen3.7-max,,cost_per_1m_output,7.50
